,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
371,hay river,90,CA,1580262861,84,-19.0,60.82,-115.8,0.34
372,srednekolymsk,0,RU,1580262861,96,-34.31,67.45,153.68,3.96
373,jussara,34,BR,1580262861,61,27.0,-23.62,-52.47,3.1
374,port macquarie,75,AU,1580262862,55,33.33,-31.43,152.92,4.6
375,merauke,10,ID,1580262862,50,33.61,-8.47,140.33,5.49
376,bathsheba,40,BB,1580262862,78,26.0,13.22,-59.52,6.7
377,nyagan,0,RU,1580262862,94,-29.08,62.14,65.39,2.35
378,kikwit,3,CD,1580262862,76,21.28,-5.04,18.82,0.45
379,tokonou,100,GN,1580262863,15,19.25,9.65,-9.78,1.23
380,irbeyskoye,100,RU,1580262863,86,-5.36,55.64,95.45,1.0
